"Socio-economic background","Men","","","Women","",""
"","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)"
"Higher professional","93.314","90.91","92.023","88.268","90.284","89.342"
"Lower professional","94.058","92.131","93.067","85.87","89.114","87.558"
"Intermediate","93.281","91.539","92.453","82.232","85.887","84.02"
"Higher working","92.939","91.587","92.334","79.331","82.339","80.64"
"Lower working","86.986","84.002","85.595","68.936","75.419","71.907"
