"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,4,10,5,2
2,9,20,10,5
3,14,30,18,9
4,24,40,29,15
5,32,50,37,22
6,42,60,44,31
7,49,70,51,42
8,56,80,58,55
9,65,90,66,71
10,100,100,100,100
