"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,1,10,2,2
2,3,20,5,5
3,6,30,10,10
4,11,40,16,17
5,18,50,24,25
6,25,60,32,35
7,35,70,42,46
8,46,80,55,59
9,60,90,72,75
10,100,100,100,100
