"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,7,10,6,5
2,17,20,13,11
3,28,30,22,19
4,42,40,33,28
5,53,50,43,38
6,63,60,53,49
7,73,70,63,60
8,83,80,74,72
9,94,90,87,85
10,100,100,100,100
