"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,5,5
2,8,20,10,11
3,15,30,18,18
4,22,40,26,27
5,33,50,36,37
6,48,60,48,48
7,64,70,61,59
8,78,80,74,71
9,90,90,85,84
10,100,100,100,100
