"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,12,10,7,5
2,23,20,14,11
3,34,30,24,19
4,46,40,34,28
5,54,50,43,38
6,64,60,54,49
7,72,70,64,60
8,83,80,76,72
9,94,90,89,85
10,100,100,100,100
