"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,9,10,6,5
2,21,20,13,11
3,35,30,21,18
4,48,40,31,27
5,61,50,42,37
6,70,60,52,48
7,80,70,61,59
8,88,80,71,71
9,95,90,82,84
10,100,100,100,100
