"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,8,10,11,5
2,18,20,22,11
3,32,30,35,19
4,44,40,48,28
5,57,50,57,38
6,65,60,64,49
7,74,70,71,60
8,82,80,78,72
9,91,90,85,85
10,100,100,100,100
