"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,4,10,6,4
2,9,20,13,9
3,15,30,22,16
4,24,40,32,24
5,33,50,41,33
6,41,60,50,43
7,52,70,59,54
8,64,80,70,66
9,78,90,83,80
10,100,100,100,100
