"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,4,10,5,5
2,9,20,11,11
3,16,30,19,18
4,25,40,28,27
5,35,50,37,37
6,46,60,47,48
7,58,70,57,59
8,72,80,69,71
9,87,90,82,84
10,100,100,100,100
