"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,9,10,6,5
2,18,20,12,11
3,28,30,21,18
4,38,40,30,27
5,49,50,40,37
6,58,60,50,48
7,69,70,61,59
8,82,80,73,71
9,94,90,89,84
10,100,100,100,100
