"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,4,5
2,8,20,9,11
3,14,30,16,18
4,20,40,24,27
5,31,50,34,37
6,45,60,45,48
7,61,70,56,59
8,78,80,68,71
9,92,90,81,84
10,100,100,100,100
