"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,4,10,5,5
2,11,20,11,11
3,20,30,18,18
4,27,40,27,27
5,38,50,36,37
6,48,60,46,48
7,61,70,57,59
8,76,80,70,71
9,92,90,84,84
10,100,100,100,100
