"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,17,10,10,5
2,32,20,21,11
3,46,30,33,18
4,61,40,45,27
5,72,50,54,36
6,78,60,61,46
7,82,70,68,57
8,85,80,74,69
9,88,90,81,83
10,100,100,100,100
