"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,8,10,5,5
2,17,20,11,11
3,27,30,19,18
4,42,40,30,27
5,53,50,40,37
6,64,60,49,48
7,72,70,59,59
8,83,80,72,71
9,94,90,88,84
10,100,100,100,100
