"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,6,10,5,5
2,13,20,11,11
3,22,30,19,19
4,34,40,28,28
5,45,50,37,38
6,57,60,47,49
7,70,70,58,60
8,82,80,71,72
9,96,90,86,85
10,100,100,100,100
