"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,9,10,5,5
2,19,20,11,11
3,29,30,19,19
4,42,40,28,28
5,53,50,37,38
6,63,60,47,49
7,73,70,58,60
8,84,80,71,72
9,96,90,86,85
10,100,100,100,100
