"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,14,10,10,5
2,26,20,19,11
3,38,30,30,19
4,52,40,41,28
5,61,50,50,38
6,69,60,59,49
7,77,70,68,60
8,85,80,77,72
9,94,90,88,85
10,100,100,100,100
