"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,6,10,6,5
2,15,20,13,11
3,27,30,21,19
4,40,40,32,28
5,52,50,42,38
6,62,60,51,49
7,71,70,60,60
8,80,80,69,72
9,90,90,80,85
10,100,100,100,100
