"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,5,10,6,5
2,11,20,12,11
3,19,30,20,19
4,29,40,31,28
5,39,50,40,38
6,49,60,49,49
7,60,70,60,60
8,74,80,72,72
9,90,90,87,85
10,100,100,100,100
