"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,2,10,5,4
2,5,20,10,9
3,10,30,16,16
4,17,40,25,24
5,26,50,33,33
6,37,60,42,43
7,49,70,53,54
8,64,80,66,66
9,83,90,80,80
10,100,100,100,100
