"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,8,10,6,5
2,18,20,14,10
3,28,30,23,17
4,42,40,35,26
5,52,50,45,35
6,61,60,54,45
7,66,70,62,56
8,73,80,70,68
9,80,90,79,82
10,100,100,100,100
