"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,8,10,7,5
2,17,20,15,11
3,27,30,25,18
4,39,40,36,27
5,48,50,45,37
6,57,60,53,48
7,67,70,62,59
8,78,80,73,71
9,90,90,86,84
10,100,100,100,100
