"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,15,10,7,5
2,29,20,15,11
3,43,30,25,19
4,59,40,37,28
5,70,50,47,38
6,78,60,57,49
7,85,70,67,60
8,90,80,77,72
9,96,90,89,85
10,100,100,100,100
