"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,11,10,5,5
2,24,20,11,11
3,36,30,18,19
4,49,40,28,28
5,60,50,37,38
6,69,60,47,49
7,78,70,59,60
8,87,80,72,72
9,97,90,85,85
10,100,100,100,100
