"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,8,10,5,5
2,16,20,11,11
3,27,30,18,19
4,40,40,27,28
5,53,50,37,38
6,67,60,47,49
7,79,70,58,60
8,89,80,69,72
9,96,90,80,85
10,100,100,100,100
