"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,6,10,7,5
2,13,20,14,11
3,24,30,24,18
4,33,40,34,27
5,43,50,44,37
6,53,60,54,48
7,64,70,64,59
8,76,80,75,71
9,91,90,88,84
10,100,100,100,100
