"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,11,10,6,5
2,23,20,12,11
3,36,30,20,18
4,52,40,30,27
5,63,50,39,37
6,72,60,49,48
7,79,70,59,59
8,86,80,70,71
9,93,90,83,84
10,100,100,100,100
