"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,16,10,7,5
2,30,20,14,11
3,43,30,23,19
4,68,40,36,28
5,80,50,46,38
6,85,60,55,49
7,89,70,65,60
8,92,80,76,72
9,94,90,88,85
10,100,100,100,100
