"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,4,10,2,2
2,8,20,5,5
3,14,30,10,10
4,23,40,16,17
5,31,50,23,25
6,41,60,32,35
7,51,70,43,46
8,62,80,55,59
9,75,90,73,75
10,100,100,100,100
