"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,9,10,7,5
2,19,20,15,11
3,31,30,25,18
4,44,40,36,27
5,55,50,46,37
6,64,60,55,48
7,72,70,65,59
8,83,80,76,71
9,93,90,89,84
10,100,100,100,100
