"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,1,10,1,2
2,3,20,3,5
3,6,30,6,10
4,11,40,11,16
5,17,50,17,24
6,24,60,25,34
7,33,70,34,45
8,43,80,44,58
9,56,90,57,74
10,100,100,100,100
