"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,16,10,7,5
2,34,20,15,11
3,49,30,25,19
4,61,40,37,28
5,71,50,47,38
6,78,60,55,49
7,83,70,63,60
8,90,80,71,72
9,94,90,80,85
10,100,100,100,100
