"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,5,5
2,7,20,11,11
3,14,30,18,18
4,23,40,27,27
5,34,50,37,37
6,48,60,47,48
7,63,70,58,59
8,78,80,71,71
9,94,90,85,84
10,100,100,100,100
