"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,13,10,12,4
2,26,20,23,9
3,40,30,37,16
4,55,40,49,25
5,66,50,57,34
6,73,60,64,44
7,78,70,71,55
8,83,80,77,67
9,88,90,84,81
10,100,100,100,100
