"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,13,10,7,5
2,28,20,15,11
3,43,30,25,19
4,56,40,38,28
5,68,50,48,38
6,75,60,57,49
7,82,70,65,60
8,88,80,73,72
9,93,90,82,85
10,100,100,100,100
