"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,2,10,4,5
2,6,20,9,11
3,12,30,16,18
4,18,40,24,27
5,27,50,35,37
6,42,60,49,48
7,56,70,62,59
8,70,80,74,71
9,84,90,85,84
10,100,100,100,100
