"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,2,10,2,2
2,5,20,5,5
3,10,30,10,10
4,16,40,17,17
5,24,50,25,25
6,34,60,34,35
7,44,70,45,46
8,57,80,59,59
9,72,90,76,75
10,100,100,100,100
