"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,6,4
2,6,20,12,9
3,12,30,21,16
4,18,40,30,25
5,26,50,39,34
6,36,60,49,44
7,47,70,59,55
8,61,80,71,67
9,80,90,85,81
10,100,100,100,100
