"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,22,10,10,5
2,38,20,21,11
3,54,30,34,19
4,69,40,48,28
5,78,50,58,38
6,83,60,66,49
7,88,70,73,60
8,92,80,80,72
9,96,90,87,85
10,100,100,100,100
