"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,4,10,6,2
2,9,20,12,5
3,16,30,21,10
4,24,40,32,17
5,31,50,40,25
6,38,60,47,35
7,45,70,54,46
8,53,80,61,59
9,60,90,69,75
10,100,100,100,100
