"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,2,10,2,2
2,4,20,4,5
3,7,30,7,10
4,11,40,12,17
5,17,50,18,25
6,26,60,25,35
7,37,70,33,46
8,49,80,44,59
9,62,90,60,75
10,100,100,100,100
