"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,15,10,6,5
2,31,20,13,11
3,43,30,21,18
4,62,40,33,27
5,74,50,44,37
6,81,60,54,48
7,86,70,63,59
8,90,80,72,71
9,93,90,82,84
10,100,100,100,100
