"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,4,10,5,5
2,10,20,11,11
3,18,30,18,19
4,29,40,27,28
5,40,50,36,38
6,54,60,48,49
7,66,70,60,60
8,79,80,71,72
9,91,90,82,85
10,100,100,100,100
