"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,3,1
2,7,20,7,3
3,11,30,13,7
4,18,40,22,13
5,25,50,29,20
6,33,60,36,29
7,42,70,43,40
8,50,80,50,52
9,60,90,59,68
10,100,100,100,100
