"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,2,10,4,4
2,5,20,9,9
3,9,30,15,16
4,15,40,23,24
5,23,50,32,33
6,34,60,42,43
7,46,70,53,54
8,60,80,66,66
9,76,90,83,80
10,100,100,100,100
