"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,4,5
2,8,20,9,10
3,14,30,16,17
4,22,40,25,26
5,31,50,34,35
6,43,60,45,45
7,58,70,57,56
8,71,80,69,68
9,84,90,82,82
10,100,100,100,100
