"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,13,10,6,5
2,25,20,13,11
3,37,30,21,19
4,54,40,32,28
5,65,50,43,38
6,73,60,53,49
7,82,70,63,60
8,88,80,73,72
9,94,90,84,85
10,100,100,100,100
