"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,4,4
2,7,20,9,9
3,13,30,16,16
4,22,40,24,25
5,32,50,33,34
6,45,60,44,44
7,56,70,56,55
8,69,80,68,67
9,83,90,80,81
10,100,100,100,100
