"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,11,10,10,5
2,23,20,19,10
3,37,30,30,17
4,58,40,41,26
5,68,50,49,35
6,75,60,58,45
7,82,70,67,56
8,87,80,77,68
9,92,90,88,82
10,100,100,100,100
