"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,4,4
2,7,20,9,9
3,13,30,15,16
4,19,40,23,25
5,28,50,31,34
6,38,60,41,44
7,49,70,52,55
8,61,80,64,67
9,75,90,79,81
10,100,100,100,100
