"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,5,10,4,5
2,11,20,9,11
3,19,30,16,18
4,29,40,24,27
5,41,50,33,37
6,54,60,42,48
7,66,70,52,59
8,79,80,64,71
9,90,90,78,84
10,100,100,100,100
