"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,3,10,4,5
2,6,20,9,11
3,12,30,15,18
4,18,40,22,27
5,27,50,30,37
6,40,60,39,48
7,56,70,50,59
8,74,80,64,71
9,92,90,78,84
10,100,100,100,100
