"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,7,10,6,5
2,16,20,12,11
3,25,30,20,19
4,37,40,30,28
5,51,50,39,38
6,63,60,49,49
7,73,70,59,60
8,83,80,71,72
9,93,90,86,85
10,100,100,100,100
