"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,5,10,5,5
2,10,20,10,11
3,18,30,17,18
4,29,40,25,27
5,39,50,34,37
6,50,60,44,48
7,64,70,55,59
8,78,80,68,71
9,91,90,81,84
10,100,100,100,100
