"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,2,10,3,3
2,4,20,6,7
3,8,30,12,12
4,13,40,19,19
5,20,50,26,27
6,28,60,34,37
7,39,70,42,48
8,52,80,52,61
9,70,90,67,76
10,100,100,100,100
