"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,15,10,10,5
2,28,20,20,11
3,42,30,32,18
4,55,40,46,27
5,63,50,56,37
6,70,60,63,48
7,76,70,70,59
8,83,80,77,71
9,89,90,84,84
10,100,100,100,100
