"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,18,10,8,5
2,38,20,17,11
3,54,30,28,19
4,70,40,40,28
5,80,50,51,38
6,85,60,61,49
7,89,70,69,60
8,93,80,78,72
9,96,90,86,85
10,100,100,100,100
