"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,19,10,11,5
2,36,20,22,11
3,49,30,34,19
4,63,40,48,28
5,72,50,57,38
6,79,60,64,49
7,85,70,71,60
8,89,80,77,72
9,94,90,84,85
10,100,100,100,100
