"Decile","Enrolment","Equal","Required (with location weighting)","Required (without location weighting)"
0,0,0,0,0
1,5,10,4,5
2,12,20,9,11
3,18,30,16,18
4,26,40,25,27
5,35,50,34,37
6,49,60,45,48
7,65,70,57,59
8,81,80,68,71
9,92,90,80,84
10,100,100,100,100
