Ethnicity,Lower working (%),Higher professional (%)
Bangladeshi,8.178221548,4.041358755
Chinese,16.53948965,8.567819157
Indian,10.74071921,5.383644088
Pakistani,16.02443558,8.276392544
Black African,16.98422411,8.820856049
Black Caribbean,15.99473905,8.259642423
Mixed,11.99201554,6.053163594
White British,6.699777648,3.284022179
White other,6.870453783,3.370826086
Other,12.05734849,6.088379779
