Year,Ratio of earnings
2022,3.082046332
2021,3.276854928
2020,3.407110092
2019,3.456287425
2018,3.539622642
2017,3.56824147
2016,3.620547945
2015,3.725290698
2014,3.821321321
2013,3.863013699
2012,3.863987635
2011,3.961965135
2010,3.963317384
2009,3.948470209
2008,3.945
2007,3.929674099
2006,3.96953405
2005,3.996268657
2004,3.955598456
2003,3.978043912
2002,4.018828452
2001,4.033112583
2000,3.961009174
1999,3.992822967
1998,3.99
1997,4.01312336
