"Year","Higher professional (%)","Higher working (%)","Intermediate (%)","Lower professional (%)","Lower working (%)","Total (%)"
"2016",44,20.556,29.683,36.572,16.306,29.006
"2017",42.585,23.1,30.984,36.057,18.339,30.064
"2018",44.253,23.872,30.622,39.7,19.892,31.619
"2019",46.434,24.433,28.724,41.165,20.137,32.438
"2020",46.658,27.492,30.66,41.421,19.418,33.807
"2021",48.739,31.264,33.037,38.441,18.824,35.047
"2022",48.03,33.992,33.676,37.961,19.613,35.649
"2023",50.011,34,34.007,40.272,23.577,37.37
"2024",48.351,32.448,34.472,41.652,25.124,37.319
