"Area_type","Area_code","Area_name","Value"
"ITL2","UKM5","North Eastern Scotland",1
"ITL2","UKJ2","Surrey, East and West Sussex",1
"ITL2","UKD1","Cumbria",1
"ITL2","UKF1","Derbyshire and Nottinghamshire",1
"ITL2","UKM7","Eastern Scotland",1
"ITL2","UKN0","Northern Ireland",1
"ITL2","UKM6","Highlands and Islands",1
"ITL2","UKM8","West Central Scotland",1
"ITL2","UKJ4","Kent",1
"ITL2","UKH1","East Anglia",1
"ITL2","UKI5","Outer London - East and North East",1
"ITL2","UKI7","Outer London - West and North West",1
"ITL2","UKE3","South Yorkshire",1
"ITL2","UKH3","Essex",1
"ITL2","UKJ3","Hampshire and Isle of Wight",1
"ITL2","UKK1","Gloucestershire, Wiltshire and Bath/Bristol area",1
"ITL2","UKH2","Bedfordshire and Hertfordshire",1
"ITL2","UKG3","West Midlands",1
"ITL2","UKF2","Leicestershire, Rutland and Northamptonshire",1
"ITL2","UKD4","Lancashire",1
"ITL2","UKL1","West Wales and The Valleys",1
"ITL2","UKD3","Greater Manchester",1
"ITL2","UKF3","Lincolnshire",1
"ITL2","UKK2","Dorset and Somerset",1
"ITL2","UKJ1","Berkshire, Buckinghamshire and Oxfordshire",1
"ITL2","UKE4","West Yorkshire",1
"ITL2","UKI6","Outer London - South",1
"ITL2","UKG1","Herefordshire, Worcestershire and Warwickshire",1
"ITL2","UKI3","Inner London - West",1
"ITL2","UKG2","Shropshire and Staffordshire",1
"ITL2","UKL2","East Wales",1
"ITL2","UKD6","Cheshire",1
"ITL2","UKK3","Cornwall and Isles of Scilly",1
"ITL2","UKC1","Tees Valley and Durham",1
"ITL2","UKE2","North Yorkshire",1
"ITL2","UKM9","Southern Scotland",1
"ITL2","UKK4","Devon",1
"ITL2","UKE1","East Yorkshire and Northern Lincolnshire",1
"ITL2","UKC2","Northumberland, and Tyne and Wear",1
"ITL2","UKI4","Inner London - East",1
"ITL2","UKD7","Merseyside",1
